System,Composition [decimal],Steps [-],Job,Crystallization
Zr-Al,Al0.99,66667,job3,True
Zr-Al,Al0.99,66667,job6,True
Zr-Al,Al0.99,66667,job8,True
Zr-Al,Al0.99,66667,job7,True
Zr-Al,Al0.99,66667,job5,True
Zr-Al,Al0.99,66667,job9,True
Zr-Al,Al0.99,66667,job4,True
Zr-Al,Al0.99,66667,job10,True
Zr-Al,Al0.99,1000,job1,False
Zr-Al,Al0.99,1000,job2,False
Zr-Al,Al0.99,1000,job3,False
Zr-Al,Al0.99,1000,job6,False
Zr-Al,Al0.99,1000,job8,False
Zr-Al,Al0.99,1000,job7,False
Zr-Al,Al0.99,1000,job5,False
Zr-Al,Al0.99,1000,job9,False
Zr-Al,Al0.99,1000,job4,False
Zr-Al,Al0.99,1000,job10,False
Zr-Al,Al0.99,667,job1,False
Zr-Al,Al0.99,667,job2,False
Zr-Al,Al0.99,667,job3,False
Zr-Al,Al0.99,667,job6,False
Zr-Al,Al0.99,667,job8,False
Zr-Al,Al0.99,667,job7,False
Zr-Al,Al0.99,667,job5,False
Zr-Al,Al0.99,667,job9,False
Zr-Al,Al0.99,667,job4,False
Zr-Al,Al0.99,667,job10,False
Zr-Al,Al0.02,2000,job5,False
Zr-Al,Al0.02,2000,job6,False
Zr-Al,Al0.02,2000,job7,False
Zr-Al,Al0.02,2000,job8,False
Zr-Al,Al0.02,2000,job9,False
Zr-Al,Al0.02,2000,job4,False
Zr-Al,Al0.02,2000,job1,False
Zr-Al,Al0.02,2000,job10,False
Zr-Al,Al0.02,2000,job2,False
Zr-Al,Al0.02,2000,job3,False
Zr-Al,Al0.02,5000,job9,True
Zr-Al,Al0.02,5000,job7,True
Zr-Al,Al0.02,5000,job8,True
Zr-Al,Al0.02,5000,job6,True
Zr-Al,Al0.02,5000,job5,True
Zr-Al,Al0.02,5000,job4,True
Zr-Al,Al0.02,5000,job1,False
Zr-Al,Al0.02,5000,job10,True
Zr-Al,Al0.02,5000,job2,True
Zr-Al,Al0.02,5000,job3,True
Zr-Al,Al0.02,6667,job8,True
Zr-Al,Al0.02,6667,job7,True
Zr-Al,Al0.02,6667,job9,True
Zr-Al,Al0.02,6667,job1,True
Zr-Al,Al0.02,6667,job10,True
Zr-Al,Al0.02,6667,job2,True
Zr-Al,Al0.02,6667,job3,True
Zr-Al,Al0.02,6667,job4,True
Zr-Al,Al0.02,6667,job5,True
Zr-Al,Al0.02,6667,job6,True
Zr-Al,Al0.02,10000,job1,True
Zr-Al,Al0.02,10000,job2,True
Zr-Al,Al0.02,10000,job3,True
Zr-Al,Al0.02,10000,job6,True
Zr-Al,Al0.02,10000,job8,True
Zr-Al,Al0.02,10000,job7,True
Zr-Al,Al0.02,10000,job5,True
Zr-Al,Al0.02,10000,job9,True
Zr-Al,Al0.02,10000,job4,True
Zr-Al,Al0.02,10000,job10,True
Zr-Al,Al0.02,1000,job1,False
Zr-Al,Al0.02,1000,job2,False
Zr-Al,Al0.02,1000,job3,False
Zr-Al,Al0.02,1000,job6,False
Zr-Al,Al0.02,1000,job8,False
Zr-Al,Al0.02,1000,job7,False
Zr-Al,Al0.02,1000,job5,False
Zr-Al,Al0.02,1000,job9,False
Zr-Al,Al0.02,1000,job4,False
Zr-Al,Al0.02,1000,job10,False
Zr-Al,Al0.02,667,job1,False
Zr-Al,Al0.02,667,job2,False
Zr-Al,Al0.02,667,job3,False
Zr-Al,Al0.02,667,job6,False
Zr-Al,Al0.02,667,job8,False
Zr-Al,Al0.02,667,job7,False
Zr-Al,Al0.02,667,job5,False
Zr-Al,Al0.02,667,job9,False
Zr-Al,Al0.02,667,job4,False
Zr-Al,Al0.02,667,job10,False
Zr-Al,Al0.98,2000,job8,False
Zr-Al,Al0.98,2000,job9,False
Zr-Al,Al0.98,2000,job7,False
Zr-Al,Al0.98,2000,job2,False
Zr-Al,Al0.98,2000,job3,False
Zr-Al,Al0.98,2000,job4,False
Zr-Al,Al0.98,2000,job5,False
Zr-Al,Al0.98,2000,job6,False
Zr-Al,Al0.98,2000,job10,False
Zr-Al,Al0.98,2000,job1,False
Zr-Al,Al0.98,6667,job8,False
Zr-Al,Al0.98,6667,job9,False
Zr-Al,Al0.98,6667,job7,False
Zr-Al,Al0.98,6667,job2,False
Zr-Al,Al0.98,6667,job3,False
Zr-Al,Al0.98,6667,job4,False
Zr-Al,Al0.98,6667,job5,False
Zr-Al,Al0.98,6667,job6,False
Zr-Al,Al0.98,6667,job10,False
Zr-Al,Al0.98,6667,job1,False
Zr-Al,Al0.98,5000,job8,False
Zr-Al,Al0.98,5000,job9,False
Zr-Al,Al0.98,5000,job7,False
Zr-Al,Al0.98,5000,job2,False
Zr-Al,Al0.98,5000,job3,False
Zr-Al,Al0.98,5000,job4,False
Zr-Al,Al0.98,5000,job5,False
Zr-Al,Al0.98,5000,job6,False
Zr-Al,Al0.98,5000,job1,False
Zr-Al,Al0.98,5000,job10,False
Zr-Al,Al0.98,10000,job1,False
Zr-Al,Al0.98,10000,job2,False
Zr-Al,Al0.98,10000,job3,False
Zr-Al,Al0.98,10000,job6,False
Zr-Al,Al0.98,10000,job8,False
Zr-Al,Al0.98,10000,job7,False
Zr-Al,Al0.98,10000,job5,False
Zr-Al,Al0.98,10000,job9,False
Zr-Al,Al0.98,10000,job4,False
Zr-Al,Al0.98,10000,job10,False
Zr-Al,Al0.98,20000,job1,False
Zr-Al,Al0.98,20000,job2,False
Zr-Al,Al0.98,20000,job3,False
Zr-Al,Al0.98,20000,job6,False
Zr-Al,Al0.98,20000,job8,False
Zr-Al,Al0.98,20000,job7,False
Zr-Al,Al0.98,20000,job5,False
Zr-Al,Al0.98,20000,job9,False
Zr-Al,Al0.98,20000,job4,False
Zr-Al,Al0.98,20000,job10,False
Zr-Al,Al0.98,50000,job1,False
Zr-Al,Al0.98,50000,job2,True
Zr-Al,Al0.98,50000,job3,False
Zr-Al,Al0.98,50000,job6,False
Zr-Al,Al0.98,50000,job8,True
Zr-Al,Al0.98,50000,job7,False
Zr-Al,Al0.98,50000,job5,True
Zr-Al,Al0.98,50000,job9,False
Zr-Al,Al0.98,50000,job4,False
Zr-Al,Al0.98,66667,job1,False
Zr-Al,Al0.98,66667,job2,True
Zr-Al,Al0.98,66667,job3,False
Zr-Al,Al0.98,66667,job6,False
Zr-Al,Al0.98,66667,job8,True
Zr-Al,Al0.98,66667,job7,False
Zr-Al,Al0.98,66667,job5,True
Zr-Al,Al0.98,66667,job9,True
Zr-Al,Al0.98,66667,job4,True
Zr-Al,Al0.98,66667,job10,True
Zr-Al,Al0.98,1000,job1,False
Zr-Al,Al0.98,1000,job2,False
Zr-Al,Al0.98,1000,job3,False
Zr-Al,Al0.98,1000,job6,False
Zr-Al,Al0.98,1000,job8,False
Zr-Al,Al0.98,1000,job7,False
Zr-Al,Al0.98,1000,job5,False
Zr-Al,Al0.98,1000,job9,False
Zr-Al,Al0.98,1000,job4,False
Zr-Al,Al0.98,1000,job10,False
Zr-Al,Al0.98,667,job1,False
Zr-Al,Al0.98,667,job2,False
Zr-Al,Al0.98,667,job3,False
Zr-Al,Al0.98,667,job6,False
Zr-Al,Al0.98,667,job8,False
Zr-Al,Al0.98,667,job7,False
Zr-Al,Al0.98,667,job5,False
Zr-Al,Al0.98,667,job9,False
Zr-Al,Al0.98,667,job4,False
Zr-Al,Al0.98,667,job10,False
Zr-Al,Al0.01,2000,job8,False
Zr-Al,Al0.01,2000,job9,False
Zr-Al,Al0.01,2000,job7,False
Zr-Al,Al0.01,2000,job5,False
Zr-Al,Al0.01,2000,job6,False
Zr-Al,Al0.01,2000,job4,False
Zr-Al,Al0.01,2000,job1,False
Zr-Al,Al0.01,2000,job10,False
Zr-Al,Al0.01,2000,job2,False
Zr-Al,Al0.01,2000,job3,False
Zr-Al,Al0.01,5000,job9,True
Zr-Al,Al0.01,5000,job8,True
Zr-Al,Al0.01,5000,job7,True
Zr-Al,Al0.01,5000,job5,True
Zr-Al,Al0.01,5000,job6,True
Zr-Al,Al0.01,5000,job4,True
Zr-Al,Al0.01,5000,job1,True
Zr-Al,Al0.01,5000,job10,True
Zr-Al,Al0.01,5000,job2,True
Zr-Al,Al0.01,5000,job3,True
Zr-Al,Al0.01,6667,job9,True
Zr-Al,Al0.01,6667,job8,True
Zr-Al,Al0.01,6667,job7,True
Zr-Al,Al0.01,6667,job5,True
Zr-Al,Al0.01,6667,job6,True
Zr-Al,Al0.01,6667,job4,True
Zr-Al,Al0.01,6667,job1,True
Zr-Al,Al0.01,6667,job10,True
Zr-Al,Al0.01,6667,job2,True
Zr-Al,Al0.01,6667,job3,True
Zr-Al,Al0.01,10000,job1,True
Zr-Al,Al0.01,10000,job2,True
Zr-Al,Al0.01,10000,job3,True
Zr-Al,Al0.01,10000,job6,True
Zr-Al,Al0.01,10000,job8,True
Zr-Al,Al0.01,10000,job7,True
Zr-Al,Al0.01,10000,job5,True
Zr-Al,Al0.01,10000,job9,True
Zr-Al,Al0.01,10000,job4,True
Zr-Al,Al0.01,10000,job10,True
Zr-Al,Al0.01,1000,job1,False
Zr-Al,Al0.01,1000,job2,False
Zr-Al,Al0.01,1000,job3,False
Zr-Al,Al0.01,1000,job6,False
Zr-Al,Al0.01,1000,job8,False
Zr-Al,Al0.01,1000,job7,False
Zr-Al,Al0.01,1000,job5,False
Zr-Al,Al0.01,1000,job9,False
Zr-Al,Al0.01,1000,job4,False
Zr-Al,Al0.01,1000,job10,False
Zr-Al,Al0.01,667,job1,False
Zr-Al,Al0.01,667,job2,False
Zr-Al,Al0.01,667,job3,False
Zr-Al,Al0.01,667,job6,False
Zr-Al,Al0.01,667,job8,False
Zr-Al,Al0.01,667,job7,False
Zr-Al,Al0.01,667,job5,False
Zr-Al,Al0.01,667,job9,False
Zr-Al,Al0.01,667,job4,False
Zr-Al,Al0.01,667,job10,False
Zr-Al,Al0.00,2000,job9,False
Zr-Al,Al0.00,2000,job7,False
Zr-Al,Al0.00,2000,job8,False
Zr-Al,Al0.00,2000,job5,False
Zr-Al,Al0.00,2000,job6,False
Zr-Al,Al0.00,2000,job4,False
Zr-Al,Al0.00,2000,job1,False
Zr-Al,Al0.00,2000,job10,False
Zr-Al,Al0.00,2000,job2,True
Zr-Al,Al0.00,2000,job3,False
Zr-Al,Al0.00,5000,job9,True
Zr-Al,Al0.00,5000,job8,True
Zr-Al,Al0.00,5000,job7,True
Zr-Al,Al0.00,5000,job5,True
Zr-Al,Al0.00,5000,job6,True
Zr-Al,Al0.00,5000,job4,True
Zr-Al,Al0.00,5000,job1,True
Zr-Al,Al0.00,5000,job10,True
Zr-Al,Al0.00,5000,job2,True
Zr-Al,Al0.00,5000,job3,True
Zr-Al,Al0.00,6667,job8,True
Zr-Al,Al0.00,6667,job9,True
Zr-Al,Al0.00,6667,job7,True
Zr-Al,Al0.00,6667,job1,True
Zr-Al,Al0.00,6667,job10,True
Zr-Al,Al0.00,6667,job2,True
Zr-Al,Al0.00,6667,job3,True
Zr-Al,Al0.00,6667,job4,True
Zr-Al,Al0.00,6667,job5,True
Zr-Al,Al0.00,6667,job6,True
Zr-Al,Al0.00,10000,job1,True
Zr-Al,Al0.00,10000,job2,True
Zr-Al,Al0.00,10000,job3,True
Zr-Al,Al0.00,10000,job6,True
Zr-Al,Al0.00,10000,job8,True
Zr-Al,Al0.00,10000,job7,True
Zr-Al,Al0.00,10000,job5,True
Zr-Al,Al0.00,10000,job9,True
Zr-Al,Al0.00,10000,job4,True
Zr-Al,Al0.00,10000,job10,True
Zr-Al,Al0.00,1000,job1,False
Zr-Al,Al0.00,1000,job2,False
Zr-Al,Al0.00,1000,job3,False
Zr-Al,Al0.00,1000,job6,False
Zr-Al,Al0.00,1000,job8,False
Zr-Al,Al0.00,1000,job7,False
Zr-Al,Al0.00,1000,job5,False
Zr-Al,Al0.00,1000,job9,False
Zr-Al,Al0.00,1000,job4,False
Zr-Al,Al0.00,1000,job10,False
Zr-Al,Al0.00,667,job1,False
Zr-Al,Al0.00,667,job2,False
Zr-Al,Al0.00,667,job3,False
Zr-Al,Al0.00,667,job6,False
Zr-Al,Al0.00,667,job8,False
Zr-Al,Al0.00,667,job7,False
Zr-Al,Al0.00,667,job5,False
Zr-Al,Al0.00,667,job9,False
Zr-Al,Al0.00,667,job4,False
Zr-Al,Al0.00,667,job10,False
Pd-Si,Si0.02,6667,job8,False
Pd-Si,Si0.02,6667,job9,False
Pd-Si,Si0.02,6667,job6,False
Pd-Si,Si0.02,6667,job7,False
Pd-Si,Si0.02,6667,job5,False
Pd-Si,Si0.02,6667,job4,False
Pd-Si,Si0.02,6667,job3,False
Pd-Si,Si0.02,6667,job2,False
Pd-Si,Si0.02,6667,job10,False
Pd-Si,Si0.02,6667,job1,False
Pd-Si,Si0.02,2000,job4,False
Pd-Si,Si0.02,2000,job5,False
Pd-Si,Si0.02,2000,job6,False
Pd-Si,Si0.02,2000,job7,False
Pd-Si,Si0.02,2000,job8,False
Pd-Si,Si0.02,2000,job9,False
Pd-Si,Si0.02,2000,job3,False
Pd-Si,Si0.02,2000,job1,False
Pd-Si,Si0.02,2000,job10,False
Pd-Si,Si0.02,2000,job2,False
Pd-Si,Si0.02,5000,job3,False
Pd-Si,Si0.02,5000,job4,False
Pd-Si,Si0.02,5000,job5,False
Pd-Si,Si0.02,5000,job6,False
Pd-Si,Si0.02,5000,job7,False
Pd-Si,Si0.02,5000,job8,False
Pd-Si,Si0.02,5000,job9,False
Pd-Si,Si0.02,5000,job1,False
Pd-Si,Si0.02,5000,job10,False
Pd-Si,Si0.02,5000,job2,False
Pd-Si,Si0.02,10000,job1,True
Pd-Si,Si0.02,10000,job2,False
Pd-Si,Si0.02,10000,job3,False
Pd-Si,Si0.02,10000,job6,False
Pd-Si,Si0.02,10000,job8,False
Pd-Si,Si0.02,10000,job7,False
Pd-Si,Si0.02,10000,job5,False
Pd-Si,Si0.02,10000,job9,True
Pd-Si,Si0.02,10000,job4,True
Pd-Si,Si0.02,10000,job10,False
Pd-Si,Si0.02,20000,job1,True
Pd-Si,Si0.02,20000,job2,True
Pd-Si,Si0.02,20000,job3,True
Pd-Si,Si0.02,20000,job6,True
Pd-Si,Si0.02,20000,job8,True
Pd-Si,Si0.02,20000,job7,True
Pd-Si,Si0.02,20000,job5,True
Pd-Si,Si0.02,20000,job9,True
Pd-Si,Si0.02,20000,job4,True
Pd-Si,Si0.02,20000,job10,True
Pd-Si,Si0.02,1000,job1,False
Pd-Si,Si0.02,1000,job2,False
Pd-Si,Si0.02,1000,job3,False
Pd-Si,Si0.02,1000,job6,False
Pd-Si,Si0.02,1000,job8,False
Pd-Si,Si0.02,1000,job7,False
Pd-Si,Si0.02,1000,job5,False
Pd-Si,Si0.02,1000,job9,False
Pd-Si,Si0.02,1000,job4,False
Pd-Si,Si0.02,1000,job10,False
Pd-Si,Si0.02,667,job1,False
Pd-Si,Si0.02,667,job2,False
Pd-Si,Si0.02,667,job3,False
Pd-Si,Si0.02,667,job6,False
Pd-Si,Si0.02,667,job8,False
Pd-Si,Si0.02,667,job7,False
Pd-Si,Si0.02,667,job5,False
Pd-Si,Si0.02,667,job9,False
Pd-Si,Si0.02,667,job4,False
Pd-Si,Si0.02,667,job10,False
Pd-Si,Si0.98,2000,job8,False
Pd-Si,Si0.98,2000,job9,False
Pd-Si,Si0.98,2000,job7,False
Pd-Si,Si0.98,2000,job6,False
Pd-Si,Si0.98,2000,job4,False
Pd-Si,Si0.98,2000,job5,False
Pd-Si,Si0.98,2000,job3,False
Pd-Si,Si0.98,2000,job1,False
Pd-Si,Si0.98,2000,job10,False
Pd-Si,Si0.98,2000,job2,False
Pd-Si,Si0.98,5000,job8,False
Pd-Si,Si0.98,5000,job9,False
Pd-Si,Si0.98,5000,job7,False
Pd-Si,Si0.98,5000,job6,False
Pd-Si,Si0.98,5000,job4,False
Pd-Si,Si0.98,5000,job5,False
Pd-Si,Si0.98,5000,job3,False
Pd-Si,Si0.98,5000,job1,False
Pd-Si,Si0.98,5000,job10,False
Pd-Si,Si0.98,5000,job2,False
Pd-Si,Si0.98,6667,job8,False
Pd-Si,Si0.98,6667,job9,False
Pd-Si,Si0.98,6667,job7,False
Pd-Si,Si0.98,6667,job6,False
Pd-Si,Si0.98,6667,job4,False
Pd-Si,Si0.98,6667,job5,False
Pd-Si,Si0.98,6667,job3,False
Pd-Si,Si0.98,6667,job1,False
Pd-Si,Si0.98,6667,job10,False
Pd-Si,Si0.98,6667,job2,False
Pd-Si,Si0.98,10000,job1,False
Pd-Si,Si0.98,10000,job2,False
Pd-Si,Si0.98,10000,job3,False
Pd-Si,Si0.98,10000,job6,False
Pd-Si,Si0.98,10000,job8,False
Pd-Si,Si0.98,10000,job7,False
Pd-Si,Si0.98,10000,job5,False
Pd-Si,Si0.98,10000,job9,False
Pd-Si,Si0.98,10000,job4,False
Pd-Si,Si0.98,10000,job10,False
Pd-Si,Si0.98,20000,job1,False
Pd-Si,Si0.98,20000,job2,False
Pd-Si,Si0.98,20000,job3,False
Pd-Si,Si0.98,20000,job6,False
Pd-Si,Si0.98,20000,job8,False
Pd-Si,Si0.98,20000,job7,False
Pd-Si,Si0.98,20000,job5,False
Pd-Si,Si0.98,20000,job9,False
Pd-Si,Si0.98,20000,job4,False
Pd-Si,Si0.98,20000,job10,False
Pd-Si,Si0.98,50000,job1,False
Pd-Si,Si0.98,50000,job2,False
Pd-Si,Si0.98,50000,job3,False
Pd-Si,Si0.98,50000,job6,False
Pd-Si,Si0.98,50000,job8,False
Pd-Si,Si0.98,50000,job7,False
Pd-Si,Si0.98,50000,job5,False
Pd-Si,Si0.98,50000,job9,False
Pd-Si,Si0.98,50000,job4,False
Pd-Si,Si0.98,50000,job10,False
Pd-Si,Si0.98,66667,job1,False
Pd-Si,Si0.98,66667,job2,False
Pd-Si,Si0.98,66667,job3,False
Pd-Si,Si0.98,66667,job6,False
Pd-Si,Si0.98,66667,job8,False
Pd-Si,Si0.98,66667,job7,False
Pd-Si,Si0.98,66667,job5,False
Pd-Si,Si0.98,66667,job9,False
Pd-Si,Si0.98,66667,job4,False
Pd-Si,Si0.98,66667,job10,False
Pd-Si,Si0.98,100000,job1,False
Pd-Si,Si0.98,100000,job10,False
Pd-Si,Si0.98,100000,job2,False
Pd-Si,Si0.98,100000,job3,False
Pd-Si,Si0.98,100000,job4,False
Pd-Si,Si0.98,100000,job5,False
Pd-Si,Si0.98,100000,job6,False
Pd-Si,Si0.98,100000,job7,False
Pd-Si,Si0.98,100000,job8,False
Pd-Si,Si0.98,100000,job9,False
Pd-Si,Si0.98,1000,job1,False
Pd-Si,Si0.98,1000,job2,False
Pd-Si,Si0.98,1000,job3,False
Pd-Si,Si0.98,1000,job6,False
Pd-Si,Si0.98,1000,job8,False
Pd-Si,Si0.98,1000,job7,False
Pd-Si,Si0.98,1000,job5,False
Pd-Si,Si0.98,1000,job9,False
Pd-Si,Si0.98,1000,job4,False
Pd-Si,Si0.98,1000,job10,False
Pd-Si,Si0.98,667,job1,False
Pd-Si,Si0.98,667,job2,False
Pd-Si,Si0.98,667,job3,False
Pd-Si,Si0.98,667,job6,False
Pd-Si,Si0.98,667,job8,False
Pd-Si,Si0.98,667,job7,False
Pd-Si,Si0.98,667,job5,False
Pd-Si,Si0.98,667,job9,False
Pd-Si,Si0.98,667,job4,False
Pd-Si,Si0.98,667,job10,False
Pd-Si,Si0.98,200000,job9,False
Pd-Si,Si0.98,200000,job2,False
Pd-Si,Si0.98,200000,job8,False
Pd-Si,Si0.98,200000,job3,False
Pd-Si,Si0.98,200000,job5,False
Pd-Si,Si0.98,200000,job4,False
Pd-Si,Si0.98,200000,job6,False
Pd-Si,Si0.98,200000,job7,False
