System,Composition [decimal],Steps [-],Job,Crystallization
Mg-Cu,Cu0.02,6667,job2,False
Mg-Cu,Cu0.02,6667,job3,False
Mg-Cu,Cu0.02,6667,job6,False
Mg-Cu,Cu0.02,6667,job7,False
Mg-Cu,Cu0.02,6667,job8,False
Mg-Cu,Cu0.02,6667,job9,False
Mg-Cu,Cu0.02,6667,job4,False
Mg-Cu,Cu0.02,6667,job5,False
Mg-Cu,Cu0.02,10000,job1,False
Mg-Cu,Cu0.02,10000,job2,False
Mg-Cu,Cu0.02,10000,job3,False
Mg-Cu,Cu0.02,10000,job6,False
Mg-Cu,Cu0.02,10000,job8,False
Mg-Cu,Cu0.02,10000,job7,False
Mg-Cu,Cu0.02,10000,job5,False
Mg-Cu,Cu0.02,10000,job9,False
Mg-Cu,Cu0.02,10000,job4,False
Mg-Cu,Cu0.02,10000,job10,False
Mg-Cu,Cu0.02,20000,job1,False
Mg-Cu,Cu0.02,20000,job2,False
Mg-Cu,Cu0.02,20000,job3,False
Mg-Cu,Cu0.02,20000,job6,False
Mg-Cu,Cu0.02,20000,job8,False
Mg-Cu,Cu0.02,20000,job7,False
Mg-Cu,Cu0.02,20000,job5,False
Mg-Cu,Cu0.02,20000,job9,False
Mg-Cu,Cu0.02,20000,job4,False
Mg-Cu,Cu0.02,20000,job10,False
Mg-Cu,Cu0.02,50000,job1,False
Mg-Cu,Cu0.02,50000,job2,False
Mg-Cu,Cu0.02,50000,job3,False
Mg-Cu,Cu0.02,50000,job6,False
Mg-Cu,Cu0.02,50000,job8,False
Mg-Cu,Cu0.02,50000,job7,False
Mg-Cu,Cu0.02,50000,job5,False
Mg-Cu,Cu0.02,50000,job9,False
Mg-Cu,Cu0.02,50000,job4,False
Mg-Cu,Cu0.02,50000,job10,False
Mg-Cu,Cu0.02,66667,job1,False
Mg-Cu,Cu0.02,66667,job2,False
Mg-Cu,Cu0.02,66667,job3,False
Mg-Cu,Cu0.02,66667,job6,False
Mg-Cu,Cu0.02,66667,job8,False
Mg-Cu,Cu0.02,66667,job7,False
Mg-Cu,Cu0.02,66667,job5,False
Mg-Cu,Cu0.02,66667,job9,False
Mg-Cu,Cu0.02,66667,job4,False
Mg-Cu,Cu0.02,66667,job10,False
Mg-Cu,Cu0.02,100000,job1,False
Mg-Cu,Cu0.02,100000,job10,False
Mg-Cu,Cu0.02,100000,job2,False
Mg-Cu,Cu0.02,100000,job3,False
Mg-Cu,Cu0.02,100000,job4,False
Mg-Cu,Cu0.02,100000,job5,False
Mg-Cu,Cu0.02,100000,job6,False
Mg-Cu,Cu0.02,100000,job7,False
Mg-Cu,Cu0.02,100000,job8,False
Mg-Cu,Cu0.02,100000,job9,False
Mg-Cu,Cu0.02,1000,job1,False
Mg-Cu,Cu0.02,1000,job2,False
Mg-Cu,Cu0.02,1000,job3,False
Mg-Cu,Cu0.02,1000,job6,False
Mg-Cu,Cu0.02,1000,job8,False
Mg-Cu,Cu0.02,1000,job7,False
Mg-Cu,Cu0.02,1000,job5,False
Mg-Cu,Cu0.02,1000,job9,False
Mg-Cu,Cu0.02,1000,job4,False
Mg-Cu,Cu0.02,1000,job10,False
Mg-Cu,Cu0.02,667,job1,False
Mg-Cu,Cu0.02,667,job2,False
Mg-Cu,Cu0.02,667,job3,False
Mg-Cu,Cu0.02,667,job6,False
Mg-Cu,Cu0.02,667,job8,False
Mg-Cu,Cu0.02,667,job7,False
Mg-Cu,Cu0.02,667,job5,False
Mg-Cu,Cu0.02,667,job9,False
Mg-Cu,Cu0.02,667,job4,False
Mg-Cu,Cu0.02,667,job10,False
Mg-Cu,Cu0.02,200000,job2,True
Mg-Cu,Cu0.02,200000,job4,True
Mg-Cu,Cu0.02,200000,job6,True
Mg-Cu,Cu0.02,200000,job3,False
Mg-Cu,Cu0.02,200000,job8,False
Mg-Cu,Cu0.02,200000,job5,True
Mg-Cu,Cu0.02,200000,job10,False
Mg-Cu,Cu0.02,200000,job1,False
Mg-Cu,Cu0.02,200000,job9,True
Mg-Cu,Cu0.02,200000,job7,False
Mg-Cu,Cu0.98,6667,job6,False
Mg-Cu,Cu0.98,6667,job7,False
Mg-Cu,Cu0.98,6667,job8,False
Mg-Cu,Cu0.98,6667,job9,False
Mg-Cu,Cu0.98,6667,job4,False
Mg-Cu,Cu0.98,6667,job5,False
Mg-Cu,Cu0.98,6667,job3,False
Mg-Cu,Cu0.98,6667,job2,False
Mg-Cu,Cu0.98,6667,job10,False
Mg-Cu,Cu0.98,6667,job1,False
Mg-Cu,Cu0.98,5000,job3,False
Mg-Cu,Cu0.98,5000,job4,False
Mg-Cu,Cu0.98,5000,job5,False
Mg-Cu,Cu0.98,5000,job6,False
Mg-Cu,Cu0.98,5000,job7,False
Mg-Cu,Cu0.98,5000,job2,False
Mg-Cu,Cu0.98,5000,job10,False
Mg-Cu,Cu0.98,5000,job9,False
Mg-Cu,Cu0.98,5000,job8,False
Mg-Cu,Cu0.98,5000,job1,False
Mg-Cu,Cu0.98,2000,job5,False
Mg-Cu,Cu0.98,2000,job6,False
Mg-Cu,Cu0.98,2000,job7,False
Mg-Cu,Cu0.98,2000,job8,False
Mg-Cu,Cu0.98,2000,job9,False
Mg-Cu,Cu0.98,2000,job4,False
Mg-Cu,Cu0.98,2000,job3,False
Mg-Cu,Cu0.98,2000,job10,False
Mg-Cu,Cu0.98,2000,job2,False
Mg-Cu,Cu0.98,2000,job1,False
Mg-Cu,Cu0.98,10000,job1,False
Mg-Cu,Cu0.98,10000,job2,False
Mg-Cu,Cu0.98,10000,job3,False
Mg-Cu,Cu0.98,10000,job6,False
Mg-Cu,Cu0.98,10000,job8,False
Mg-Cu,Cu0.98,10000,job7,False
Mg-Cu,Cu0.98,10000,job5,False
Mg-Cu,Cu0.98,10000,job9,False
Mg-Cu,Cu0.98,10000,job4,False
Mg-Cu,Cu0.98,10000,job10,False
Mg-Cu,Cu0.98,20000,job1,False
Mg-Cu,Cu0.98,20000,job2,False
Mg-Cu,Cu0.98,20000,job3,False
Mg-Cu,Cu0.98,20000,job6,False
Mg-Cu,Cu0.98,20000,job8,False
Mg-Cu,Cu0.98,20000,job7,False
Mg-Cu,Cu0.98,20000,job5,False
Mg-Cu,Cu0.98,20000,job9,False
Mg-Cu,Cu0.98,20000,job4,False
Mg-Cu,Cu0.98,20000,job10,False
Mg-Cu,Cu0.98,50000,job2,True
Mg-Cu,Cu0.98,50000,job3,True
Mg-Cu,Cu0.98,50000,job8,True
Mg-Cu,Cu0.98,50000,job7,True
Mg-Cu,Cu0.98,50000,job5,True
Mg-Cu,Cu0.98,50000,job4,True
Mg-Cu,Cu0.98,50000,job10,True
Mg-Cu,Cu0.98,66667,job1,True
Mg-Cu,Cu0.98,66667,job2,True
Mg-Cu,Cu0.98,66667,job3,True
Mg-Cu,Cu0.98,66667,job6,True
Mg-Cu,Cu0.98,66667,job8,True
Mg-Cu,Cu0.98,66667,job7,True
Mg-Cu,Cu0.98,66667,job5,True
Mg-Cu,Cu0.98,66667,job9,True
Mg-Cu,Cu0.98,66667,job4,True
Mg-Cu,Cu0.98,66667,job10,True
Mg-Cu,Cu0.98,1000,job1,False
Mg-Cu,Cu0.98,1000,job2,False
Mg-Cu,Cu0.98,1000,job3,False
Mg-Cu,Cu0.98,1000,job6,False
Mg-Cu,Cu0.98,1000,job8,False
Mg-Cu,Cu0.98,1000,job7,False
Mg-Cu,Cu0.98,1000,job5,False
Mg-Cu,Cu0.98,1000,job9,False
Mg-Cu,Cu0.98,1000,job4,False
Mg-Cu,Cu0.98,1000,job10,False
Mg-Cu,Cu0.98,667,job1,False
Mg-Cu,Cu0.98,667,job2,False
Mg-Cu,Cu0.98,667,job3,False
Mg-Cu,Cu0.98,667,job6,False
Mg-Cu,Cu0.98,667,job8,False
Mg-Cu,Cu0.98,667,job7,False
Mg-Cu,Cu0.98,667,job5,False
Mg-Cu,Cu0.98,667,job9,False
Mg-Cu,Cu0.98,667,job4,False
Mg-Cu,Cu0.98,667,job10,False
La-Al,Al0.98,2000,job9,False
La-Al,Al0.98,2000,job7,False
La-Al,Al0.98,2000,job8,False
La-Al,Al0.98,2000,job6,False
La-Al,Al0.98,2000,job10,False
La-Al,Al0.98,2000,job2,False
La-Al,Al0.98,2000,job3,False
La-Al,Al0.98,2000,job4,False
La-Al,Al0.98,2000,job5,False
La-Al,Al0.98,2000,job1,False
La-Al,Al0.98,5000,job9,False
La-Al,Al0.98,5000,job7,False
La-Al,Al0.98,5000,job8,False
La-Al,Al0.98,5000,job6,False
La-Al,Al0.98,5000,job3,False
La-Al,Al0.98,5000,job4,False
La-Al,Al0.98,5000,job5,False
La-Al,Al0.98,5000,job2,False
La-Al,Al0.98,5000,job1,False
La-Al,Al0.98,5000,job10,False
La-Al,Al0.98,6667,job4,False
La-Al,Al0.98,6667,job5,False
La-Al,Al0.98,6667,job6,False
La-Al,Al0.98,6667,job7,False
La-Al,Al0.98,6667,job8,False
La-Al,Al0.98,6667,job3,False
La-Al,Al0.98,6667,job2,False
La-Al,Al0.98,6667,job1,False
La-Al,Al0.98,6667,job10,False
La-Al,Al0.98,10000,job2,False
La-Al,Al0.98,10000,job3,False
La-Al,Al0.98,10000,job6,False
La-Al,Al0.98,10000,job8,False
La-Al,Al0.98,10000,job7,False
La-Al,Al0.98,10000,job5,False
La-Al,Al0.98,10000,job9,False
La-Al,Al0.98,10000,job4,False
La-Al,Al0.98,10000,job10,False
La-Al,Al0.98,20000,job1,False
La-Al,Al0.98,20000,job2,False
La-Al,Al0.98,20000,job3,False
La-Al,Al0.98,20000,job6,False
La-Al,Al0.98,20000,job8,False
La-Al,Al0.98,20000,job7,False
La-Al,Al0.98,20000,job5,False
La-Al,Al0.98,20000,job9,False
La-Al,Al0.98,20000,job4,False
La-Al,Al0.98,20000,job10,False
La-Al,Al0.98,50000,job1,False
La-Al,Al0.98,50000,job2,False
La-Al,Al0.98,50000,job3,False
La-Al,Al0.98,50000,job6,False
La-Al,Al0.98,50000,job8,False
La-Al,Al0.98,50000,job7,False
La-Al,Al0.98,50000,job5,False
La-Al,Al0.98,50000,job9,False
La-Al,Al0.98,50000,job4,False
La-Al,Al0.98,50000,job10,False
La-Al,Al0.98,66667,job1,False
La-Al,Al0.98,66667,job2,False
La-Al,Al0.98,66667,job3,False
La-Al,Al0.98,66667,job6,False
La-Al,Al0.98,66667,job8,False
La-Al,Al0.98,66667,job7,False
La-Al,Al0.98,66667,job5,False
La-Al,Al0.98,66667,job9,False
La-Al,Al0.98,66667,job4,False
La-Al,Al0.98,66667,job10,False
La-Al,Al0.98,100000,job1,False
La-Al,Al0.98,100000,job10,False
La-Al,Al0.98,100000,job2,False
La-Al,Al0.98,100000,job3,False
La-Al,Al0.98,100000,job4,False
La-Al,Al0.98,100000,job5,False
La-Al,Al0.98,100000,job6,False
La-Al,Al0.98,100000,job7,False
La-Al,Al0.98,100000,job8,False
La-Al,Al0.98,100000,job9,False
La-Al,Al0.98,1000,job1,False
La-Al,Al0.98,1000,job2,False
La-Al,Al0.98,1000,job3,False
La-Al,Al0.98,1000,job6,False
La-Al,Al0.98,1000,job8,False
La-Al,Al0.98,1000,job7,False
La-Al,Al0.98,1000,job5,False
La-Al,Al0.98,1000,job9,False
La-Al,Al0.98,1000,job4,False
La-Al,Al0.98,1000,job10,False
La-Al,Al0.98,667,job1,False
La-Al,Al0.98,667,job2,False
La-Al,Al0.98,667,job3,False
La-Al,Al0.98,667,job6,False
La-Al,Al0.98,667,job8,False
La-Al,Al0.98,667,job7,False
La-Al,Al0.98,667,job5,False
La-Al,Al0.98,667,job9,False
La-Al,Al0.98,667,job4,False
La-Al,Al0.98,667,job10,False
La-Al,Al0.98,200000,job1,False
La-Al,Al0.98,200000,job10,False
La-Al,Al0.98,200000,job2,False
La-Al,Al0.98,200000,job3,False
La-Al,Al0.98,200000,job4,False
La-Al,Al0.98,200000,job5,False
La-Al,Al0.98,200000,job6,False
La-Al,Al0.98,200000,job7,False
La-Al,Al0.98,200000,job8,False
La-Al,Al0.98,200000,job9,False
La-Al,Al0.99,6667,job9,False
La-Al,Al0.99,6667,job8,False
La-Al,Al0.99,6667,job7,False
La-Al,Al0.99,6667,job6,False
La-Al,Al0.99,6667,job1,False
La-Al,Al0.99,6667,job2,False
La-Al,Al0.99,6667,job3,False
La-Al,Al0.99,6667,job4,False
La-Al,Al0.99,6667,job5,False
La-Al,Al0.99,6667,job10,False
La-Al,Al0.99,2000,job9,False
La-Al,Al0.99,2000,job4,False
La-Al,Al0.99,2000,job5,False
La-Al,Al0.99,2000,job6,False
La-Al,Al0.99,2000,job7,False
La-Al,Al0.99,2000,job8,False
La-Al,Al0.99,2000,job2,False
La-Al,Al0.99,2000,job3,False
La-Al,Al0.99,2000,job1,False
La-Al,Al0.99,2000,job10,False
La-Al,Al0.99,5000,job9,False
La-Al,Al0.99,5000,job4,False
La-Al,Al0.99,5000,job5,False
La-Al,Al0.99,5000,job6,False
La-Al,Al0.99,5000,job7,False
La-Al,Al0.99,5000,job8,False
La-Al,Al0.99,5000,job3,False
La-Al,Al0.99,5000,job2,False
La-Al,Al0.99,5000,job1,False
La-Al,Al0.99,5000,job10,False
La-Al,Al0.99,10000,job1,False
La-Al,Al0.99,10000,job2,False
La-Al,Al0.99,10000,job3,False
La-Al,Al0.99,10000,job6,False
La-Al,Al0.99,10000,job8,False
La-Al,Al0.99,10000,job7,False
La-Al,Al0.99,10000,job5,False
La-Al,Al0.99,10000,job9,False
La-Al,Al0.99,10000,job4,False
La-Al,Al0.99,10000,job10,False
La-Al,Al0.99,20000,job1,False
La-Al,Al0.99,20000,job2,False
La-Al,Al0.99,20000,job3,False
La-Al,Al0.99,20000,job6,False
La-Al,Al0.99,20000,job8,False
La-Al,Al0.99,20000,job7,False
La-Al,Al0.99,20000,job5,False
La-Al,Al0.99,20000,job9,False
La-Al,Al0.99,20000,job4,False
La-Al,Al0.99,20000,job10,False
La-Al,Al0.99,50000,job1,True
La-Al,Al0.99,50000,job2,True
La-Al,Al0.99,50000,job3,False
La-Al,Al0.99,50000,job6,True
La-Al,Al0.99,50000,job8,True
La-Al,Al0.99,50000,job7,True
La-Al,Al0.99,50000,job5,True
La-Al,Al0.99,50000,job9,False
La-Al,Al0.99,50000,job4,True
La-Al,Al0.99,50000,job10,False
La-Al,Al0.99,66667,job1,True
La-Al,Al0.99,66667,job2,True
La-Al,Al0.99,66667,job3,True
La-Al,Al0.99,66667,job6,True
La-Al,Al0.99,66667,job8,True
La-Al,Al0.99,66667,job7,True
La-Al,Al0.99,66667,job5,True
La-Al,Al0.99,66667,job9,True
La-Al,Al0.99,66667,job4,True
La-Al,Al0.99,66667,job10,True
La-Al,Al0.99,1000,job1,False
La-Al,Al0.99,1000,job2,False
La-Al,Al0.99,1000,job3,False
La-Al,Al0.99,1000,job6,False
La-Al,Al0.99,1000,job8,False
La-Al,Al0.99,1000,job7,False
La-Al,Al0.99,1000,job5,False
La-Al,Al0.99,1000,job9,False
La-Al,Al0.99,1000,job4,False
La-Al,Al0.99,1000,job10,False
La-Al,Al0.99,667,job1,False
La-Al,Al0.99,667,job2,False
La-Al,Al0.99,667,job3,False
La-Al,Al0.99,667,job6,False
La-Al,Al0.99,667,job8,False
La-Al,Al0.99,667,job7,False
La-Al,Al0.99,667,job5,False
La-Al,Al0.99,667,job9,False
La-Al,Al0.99,667,job4,False
La-Al,Al0.99,667,job10,False
La-Al,Al1.00,6667,job9,False
La-Al,Al1.00,6667,job1,False
La-Al,Al1.00,6667,job10,False
La-Al,Al1.00,6667,job2,False
La-Al,Al1.00,6667,job3,False
La-Al,Al1.00,6667,job4,False
La-Al,Al1.00,6667,job5,False
La-Al,Al1.00,6667,job6,False
La-Al,Al1.00,6667,job7,False
La-Al,Al1.00,6667,job8,False
La-Al,Al1.00,2000,job9,False
La-Al,Al1.00,2000,job7,False
La-Al,Al1.00,2000,job8,False
La-Al,Al1.00,2000,job6,False
La-Al,Al1.00,2000,job10,False
La-Al,Al1.00,2000,job2,False
La-Al,Al1.00,2000,job3,False
La-Al,Al1.00,2000,job4,False
La-Al,Al1.00,2000,job5,False
La-Al,Al1.00,2000,job1,False
La-Al,Al1.00,5000,job9,False
La-Al,Al1.00,5000,job7,False
La-Al,Al1.00,5000,job8,False
La-Al,Al1.00,5000,job6,False
La-Al,Al1.00,5000,job10,False
La-Al,Al1.00,5000,job2,False
La-Al,Al1.00,5000,job3,False
La-Al,Al1.00,5000,job4,False
La-Al,Al1.00,5000,job5,False
La-Al,Al1.00,5000,job1,False
La-Al,Al1.00,10000,job1,False
La-Al,Al1.00,10000,job2,False
La-Al,Al1.00,10000,job3,False
La-Al,Al1.00,10000,job6,True
La-Al,Al1.00,10000,job8,True
La-Al,Al1.00,10000,job7,True
La-Al,Al1.00,10000,job5,True
La-Al,Al1.00,10000,job9,False
La-Al,Al1.00,10000,job4,False
La-Al,Al1.00,10000,job10,True
La-Al,Al1.00,20000,job1,True
La-Al,Al1.00,20000,job2,True
La-Al,Al1.00,20000,job3,True
La-Al,Al1.00,20000,job6,True
La-Al,Al1.00,20000,job8,True
La-Al,Al1.00,20000,job7,True
La-Al,Al1.00,20000,job5,True
La-Al,Al1.00,20000,job9,True
La-Al,Al1.00,20000,job4,True
La-Al,Al1.00,20000,job10,True
La-Al,Al1.00,1000,job1,False
La-Al,Al1.00,1000,job2,False
La-Al,Al1.00,1000,job3,False
La-Al,Al1.00,1000,job6,False
La-Al,Al1.00,1000,job8,False
La-Al,Al1.00,1000,job7,False
La-Al,Al1.00,1000,job5,False
La-Al,Al1.00,1000,job9,False
La-Al,Al1.00,1000,job4,False
La-Al,Al1.00,1000,job10,False
La-Al,Al1.00,667,job1,False
La-Al,Al1.00,667,job2,False
La-Al,Al1.00,667,job3,False
La-Al,Al1.00,667,job6,False
La-Al,Al1.00,667,job8,False
La-Al,Al1.00,667,job7,False
La-Al,Al1.00,667,job5,False
La-Al,Al1.00,667,job9,False
La-Al,Al1.00,667,job4,False
La-Al,Al1.00,667,job10,False
La-Al,Al0.02,5000,job9,False
La-Al,Al0.02,5000,job7,False
La-Al,Al0.02,5000,job8,False
La-Al,Al0.02,5000,job6,False
La-Al,Al0.02,5000,job10,False
La-Al,Al0.02,5000,job2,False
La-Al,Al0.02,5000,job3,False
La-Al,Al0.02,5000,job4,False
La-Al,Al0.02,5000,job5,False
La-Al,Al0.02,5000,job1,False
La-Al,Al0.02,6667,job9,False
La-Al,Al0.02,6667,job7,False
La-Al,Al0.02,6667,job8,False
La-Al,Al0.02,6667,job6,False
La-Al,Al0.02,6667,job10,False
La-Al,Al0.02,6667,job2,False
La-Al,Al0.02,6667,job3,False
La-Al,Al0.02,6667,job4,False
La-Al,Al0.02,6667,job5,False
La-Al,Al0.02,6667,job1,False
La-Al,Al0.02,2000,job9,False
La-Al,Al0.02,2000,job7,False
La-Al,Al0.02,2000,job8,False
La-Al,Al0.02,2000,job6,False
La-Al,Al0.02,2000,job10,False
La-Al,Al0.02,2000,job2,False
La-Al,Al0.02,2000,job3,False
La-Al,Al0.02,2000,job4,False
La-Al,Al0.02,2000,job5,False
La-Al,Al0.02,2000,job1,False
La-Al,Al0.02,10000,job1,False
La-Al,Al0.02,10000,job2,False
La-Al,Al0.02,10000,job3,False
La-Al,Al0.02,10000,job6,False
La-Al,Al0.02,10000,job8,False
La-Al,Al0.02,10000,job7,False
La-Al,Al0.02,10000,job5,False
La-Al,Al0.02,10000,job9,False
La-Al,Al0.02,10000,job4,False
La-Al,Al0.02,10000,job10,False
La-Al,Al0.02,20000,job1,False
La-Al,Al0.02,20000,job2,False
La-Al,Al0.02,20000,job3,False
La-Al,Al0.02,20000,job6,False
La-Al,Al0.02,20000,job8,False
La-Al,Al0.02,20000,job7,False
La-Al,Al0.02,20000,job5,False
La-Al,Al0.02,20000,job9,False
La-Al,Al0.02,20000,job4,False
La-Al,Al0.02,20000,job10,False
La-Al,Al0.02,50000,job1,False
La-Al,Al0.02,50000,job2,False
La-Al,Al0.02,50000,job3,False
La-Al,Al0.02,50000,job6,False
La-Al,Al0.02,50000,job8,False
La-Al,Al0.02,50000,job7,False
La-Al,Al0.02,50000,job5,False
La-Al,Al0.02,50000,job9,False
La-Al,Al0.02,50000,job4,False
La-Al,Al0.02,50000,job10,False
La-Al,Al0.02,66667,job1,False
La-Al,Al0.02,66667,job2,False
La-Al,Al0.02,66667,job3,False
La-Al,Al0.02,66667,job6,False
La-Al,Al0.02,66667,job8,False
La-Al,Al0.02,66667,job7,False
La-Al,Al0.02,66667,job5,False
La-Al,Al0.02,66667,job9,False
La-Al,Al0.02,66667,job4,False
La-Al,Al0.02,66667,job10,False
La-Al,Al0.02,100000,job1,False
La-Al,Al0.02,100000,job10,False
La-Al,Al0.02,100000,job2,False
La-Al,Al0.02,100000,job3,False
La-Al,Al0.02,100000,job4,False
La-Al,Al0.02,100000,job5,False
La-Al,Al0.02,100000,job6,False
La-Al,Al0.02,100000,job7,False
La-Al,Al0.02,100000,job8,False
La-Al,Al0.02,100000,job9,False
La-Al,Al0.02,1000,job1,False
La-Al,Al0.02,1000,job2,False
La-Al,Al0.02,1000,job3,False
La-Al,Al0.02,1000,job6,False
La-Al,Al0.02,1000,job8,False
La-Al,Al0.02,1000,job7,False
La-Al,Al0.02,1000,job5,False
La-Al,Al0.02,1000,job9,False
La-Al,Al0.02,1000,job4,False
La-Al,Al0.02,1000,job10,False
La-Al,Al0.02,667,job1,False
La-Al,Al0.02,667,job2,False
La-Al,Al0.02,667,job3,False
La-Al,Al0.02,667,job6,False
La-Al,Al0.02,667,job8,False
La-Al,Al0.02,667,job7,False
La-Al,Al0.02,667,job5,False
La-Al,Al0.02,667,job9,False
La-Al,Al0.02,667,job4,False
La-Al,Al0.02,667,job10,False
La-Al,Al0.02,200000,job8,False
La-Al,Al0.02,200000,job10,False
La-Al,Al0.02,200000,job9,False
La-Al,Al0.02,200000,job3,False
La-Al,Al0.02,200000,job4,False
La-Al,Al0.02,200000,job6,False
La-Al,Al0.02,200000,job7,False
La-Al,Al0.02,200000,job2,False
La-Al,Al0.02,200000,job1,False
La-Al,Al0.02,200000,job5,False
La-Al,Al0.01,6667,job9,False
La-Al,Al0.01,6667,job8,False
La-Al,Al0.01,6667,job10,False
La-Al,Al0.01,6667,job2,False
La-Al,Al0.01,6667,job3,False
La-Al,Al0.01,6667,job4,False
La-Al,Al0.01,6667,job5,False
La-Al,Al0.01,6667,job6,False
La-Al,Al0.01,6667,job7,False
La-Al,Al0.01,6667,job1,False
La-Al,Al0.01,5000,job9,False
La-Al,Al0.01,5000,job10,False
La-Al,Al0.01,5000,job1,False
La-Al,Al0.01,5000,job3,False
La-Al,Al0.01,5000,job4,False
La-Al,Al0.01,5000,job5,False
La-Al,Al0.01,5000,job6,False
La-Al,Al0.01,5000,job7,False
La-Al,Al0.01,5000,job8,False
La-Al,Al0.01,5000,job2,False
La-Al,Al0.01,2000,job9,False
La-Al,Al0.01,2000,job4,False
La-Al,Al0.01,2000,job5,False
La-Al,Al0.01,2000,job6,False
La-Al,Al0.01,2000,job7,False
La-Al,Al0.01,2000,job8,False
La-Al,Al0.01,2000,job2,False
La-Al,Al0.01,2000,job3,False
La-Al,Al0.01,2000,job1,False
La-Al,Al0.01,2000,job10,False
La-Al,Al0.01,10000,job1,False
La-Al,Al0.01,10000,job2,False
La-Al,Al0.01,10000,job3,False
La-Al,Al0.01,10000,job6,False
La-Al,Al0.01,10000,job8,False
La-Al,Al0.01,10000,job7,False
La-Al,Al0.01,10000,job5,False
La-Al,Al0.01,10000,job9,False
La-Al,Al0.01,10000,job4,False
La-Al,Al0.01,10000,job10,False
La-Al,Al0.01,20000,job1,False
La-Al,Al0.01,20000,job2,False
La-Al,Al0.01,20000,job3,False
La-Al,Al0.01,20000,job6,False
La-Al,Al0.01,20000,job8,False
La-Al,Al0.01,20000,job7,False
La-Al,Al0.01,20000,job5,False
La-Al,Al0.01,20000,job9,False
La-Al,Al0.01,20000,job4,False
La-Al,Al0.01,20000,job10,False
La-Al,Al0.01,50000,job1,False
La-Al,Al0.01,50000,job2,False
La-Al,Al0.01,50000,job3,False
La-Al,Al0.01,50000,job6,False
La-Al,Al0.01,50000,job8,False
La-Al,Al0.01,50000,job7,False
La-Al,Al0.01,50000,job5,False
La-Al,Al0.01,50000,job9,False
La-Al,Al0.01,50000,job4,False
La-Al,Al0.01,50000,job10,False
La-Al,Al0.01,66667,job1,False
La-Al,Al0.01,66667,job2,False
La-Al,Al0.01,66667,job3,False
La-Al,Al0.01,66667,job6,False
La-Al,Al0.01,66667,job8,False
La-Al,Al0.01,66667,job7,False
La-Al,Al0.01,66667,job5,False
La-Al,Al0.01,66667,job9,False
La-Al,Al0.01,66667,job4,False
La-Al,Al0.01,66667,job10,False
La-Al,Al0.01,100000,job1,False
La-Al,Al0.01,100000,job10,False
La-Al,Al0.01,100000,job2,False
La-Al,Al0.01,100000,job3,False
La-Al,Al0.01,100000,job4,False
La-Al,Al0.01,100000,job5,False
La-Al,Al0.01,100000,job6,False
La-Al,Al0.01,100000,job7,False
La-Al,Al0.01,100000,job8,False
La-Al,Al0.01,100000,job9,False
La-Al,Al0.01,1000,job1,False
La-Al,Al0.01,1000,job2,False
La-Al,Al0.01,1000,job3,False
La-Al,Al0.01,1000,job6,False
La-Al,Al0.01,1000,job8,False
La-Al,Al0.01,1000,job7,False
La-Al,Al0.01,1000,job5,False
La-Al,Al0.01,1000,job9,False
La-Al,Al0.01,1000,job4,False
La-Al,Al0.01,1000,job10,False
La-Al,Al0.01,667,job1,False
La-Al,Al0.01,667,job2,False
La-Al,Al0.01,667,job3,False
La-Al,Al0.01,667,job6,False
La-Al,Al0.01,667,job8,False
La-Al,Al0.01,667,job7,False
La-Al,Al0.01,667,job5,False
La-Al,Al0.01,667,job9,False
La-Al,Al0.01,667,job4,False
La-Al,Al0.01,667,job10,False
La-Al,Al0.01,200000,job3,False
La-Al,Al0.01,200000,job8,False
La-Al,Al0.01,200000,job5,False
La-Al,Al0.01,200000,job6,False
La-Al,Al0.01,200000,job1,False
La-Al,Al0.01,200000,job9,False
La-Al,Al0.01,200000,job4,False
La-Al,Al0.01,200000,job2,False
La-Al,Al0.01,200000,job7,False
La-Al,Al0.01,200000,job10,False
La-Al,Al0.00,6667,job9,False
La-Al,Al0.00,6667,job4,False
La-Al,Al0.00,6667,job5,False
La-Al,Al0.00,6667,job6,False
La-Al,Al0.00,6667,job7,False
La-Al,Al0.00,6667,job8,False
La-Al,Al0.00,6667,job3,False
La-Al,Al0.00,6667,job2,False
La-Al,Al0.00,6667,job1,False
La-Al,Al0.00,6667,job10,False
La-Al,Al0.00,5000,job9,False
La-Al,Al0.00,5000,job4,False
La-Al,Al0.00,5000,job5,False
La-Al,Al0.00,5000,job6,False
La-Al,Al0.00,5000,job7,False
La-Al,Al0.00,5000,job8,False
La-Al,Al0.00,5000,job3,False
La-Al,Al0.00,5000,job2,False
La-Al,Al0.00,5000,job1,False
La-Al,Al0.00,5000,job10,False
La-Al,Al0.00,2000,job9,False
La-Al,Al0.00,2000,job4,False
La-Al,Al0.00,2000,job5,False
La-Al,Al0.00,2000,job6,False
La-Al,Al0.00,2000,job7,False
La-Al,Al0.00,2000,job8,False
La-Al,Al0.00,2000,job3,False
La-Al,Al0.00,2000,job2,False
La-Al,Al0.00,2000,job1,False
La-Al,Al0.00,2000,job10,False
La-Al,Al0.00,10000,job1,False
La-Al,Al0.00,10000,job2,False
La-Al,Al0.00,10000,job3,False
La-Al,Al0.00,10000,job6,False
La-Al,Al0.00,10000,job8,False
La-Al,Al0.00,10000,job7,False
La-Al,Al0.00,10000,job5,False
La-Al,Al0.00,10000,job9,False
La-Al,Al0.00,10000,job4,False
